ID;IMPORTO;SOGGETTO;BENEFICIARIO;TIPO
136;11760;156;487;bonifico
137;18952;478;302;bonifico
138;12260;23;818;bonifico
139;11438;410;361;bonifico
140;30182;378;993;bonifico
141;13585;152;979;bonifico
142;490;760;;carta di credito
143;19155;960;5;assegno
144;12700;181;228;bonifico
145;4165;645;726;assegno
146;570;279;;carta di credito
147;10180;390;655;bonifico
148;20175;839;425;bonifico
149;29235;561;27;bonifico
150;6055;44;727;bonifico
151;22271;324;889;bonifico
152;7640;902;689;bonifico
153;15180;179;8;bonifico
154;305;912;224;contante
155;21490;667;487;bonifico
156;770;699;;carta di credito
157;12970;273;209;assegno
158;58900;577;868;bonifico
159;13478;578;85;assegno
160;7330;750;919;bonifico
161;9020;421;138;bonifico
162;6760;849;639;bonifico
163;13300;325;509;bonifico
164;17695;84;410;bonifico
165;6870;961;923;bonifico
166;33930;134;53;assegno
167;180;7;473;contante
168;4780;190;326;assegno
169;1090;767;;carta di credito
170;4380;725;825;bonifico
171;20790;218;246;assegno
172;585;485;;carta di credito
173;6502;826;732;assegno
174;14415;868;245;assegno
175;10580;285;822;assegno
176;880;575;;carta di credito
177;1195;281;;carta di credito
178;20820;868;651;bonifico
179;5426;111;155;bonifico
180;300;609;;carta di credito
181;14900;358;113;assegno
182;42360;796;249;bonifico
183;14970;21;821;bonifico
184;6945;689;516;bonifico
185;990;281;216;contante
186;3145;608;148;bonifico
187;830;745;;carta di credito
188;19000;728;110;assegno
189;31835;998;398;bonifico
190;572;158;527;contante
191;12715;279;52;bonifico
192;240;348;;carta di credito
193;2390;333;990;bonifico
194;5295;6;759;assegno
195;33797;112;841;bonifico
196;76065;373;279;bonifico
197;2400;199;348;assegno
198;5140;261;763;assegno
199;18195;247;454;assegno
200;62965;787;655;bonifico
201;749;954;;carta di credito
202;20450;21;785;assegno
203;7342;64;384;bonifico
204;1300;282;;carta di credito
205;24526;612;729;bonifico
206;301;325;;carta di credito
207;28226;850;526;bonifico
208;185;87;708;contante
209;9880;55;848;assegno
210;53445;826;430;assegno
211;1220;54;;carta di credito
212;13424;808;452;bonifico
213;15860;460;532;bonifico
214;722;564;;carta di credito
215;3492;478;17;assegno
216;19380;811;513;assegno
217;21434;868;341;assegno
218;565;962;;carta di credito
219;12710;930;806;bonifico
220;11360;873;461;bonifico
221;41895;411;209;bonifico
222;295;425;555;contante
223;16080;485;372;assegno
224;28891;962;535;assegno
225;41590;710;497;bonifico
226;6265;980;305;bonifico
227;9590;895;334;bonifico
228;1287;816;;carta di credito
229;19485;364;610;bonifico
230;530;239;;carta di credito
231;26620;320;683;bonifico
232;14325;539;248;bonifico
233;51165;202;639;assegno
234;11910;44;154;bonifico
235;835;416;;carta di credito
236;32570;593;66;bonifico
237;21065;211;580;bonifico
238;9995;930;814;assegno
239;17835;423;527;bonifico
240;255;134;;carta di credito
241;27105;625;212;bonifico
242;6380;503;104;assegno
243;7975;399;593;assegno
244;4335;682;343;bonifico
245;400;172;;carta di credito
246;24005;851;734;assegno
247;565;660;;carta di credito
248;32455;144;532;bonifico
249;165;154;;carta di credito
250;15345;911;257;assegno
251;1030;752;;carta di credito
252;49210;630;801;bonifico
253;690;645;;carta di credito
254;13075;133;268;bonifico
255;4160;921;417;assegno
256;7345;416;270;assegno
257;9860;800;803;bonifico
258;3610;826;12;bonifico
259;395;3;;carta di credito
260;10037;566;871;bonifico
261;15490;982;403;assegno
262;4485;115;396;bonifico
263;13754;620;783;bonifico
264;20530;950;564;assegno
265;27585;231;486;bonifico
266;275;427;884;contante
267;317;297;;carta di credito
268;26580;665;386;bonifico
269;11210;609;888;assegno
270;7465;950;871;assegno
271;19785;646;54;assegno
272;245;334;866;contante
273;333;641;;carta di credito
274;22480;926;739;bonifico
275;40374;905;264;bonifico
276;965;494;;carta di credito
277;4340;30;418;bonifico
278;440;18;;carta di credito
279;31920;345;826;assegno
280;805;887;;carta di credito
281;25965;734;75;bonifico
282;3380;666;947;bonifico
283;21245;363;743;assegno
284;2980;473;807;bonifico
285;8500;437;713;bonifico
286;175;712;52;contante
287;320;517;;carta di credito
288;16390;384;936;bonifico
289;595;936;;carta di credito
290;24535;465;955;bonifico
291;11505;508;822;bonifico
292;9625;200;990;bonifico
293;22260;375;253;bonifico
294;11680;142;937;assegno
295;12572;887;554;bonifico
296;520;199;802;contante
297;18060;568;123;assegno
298;49505;749;915;bonifico
299;12845;845;892;bonifico
300;10015;908;591;assegno
301;22125;125;402;bonifico
302;3090;87;278;bonifico
303;18500;895;351;assegno
304;8865;508;412;bonifico
305;5150;88;414;bonifico
306;22880;373;484;bonifico
307;775;429;;carta di credito
308;1120;34;180;bonifico
309;8695;558;964;assegno
310;35505;129;953;assegno
311;12260;747;817;bonifico
312;1257;83;;carta di credito
313;31760;624;656;bonifico
314;12955;138;784;bonifico
315;7204;816;194;bonifico
316;318;254;93;contante
317;10265;790;818;assegno
318;40153;106;435;assegno
319;864;78;;carta di credito
320;23070;204;152;bonifico
321;24925;920;668;bonifico
322;32030;517;414;bonifico
323;12845;307;668;bonifico
324;8390;137;212;bonifico
325;34880;227;308;bonifico
326;22615;334;331;bonifico
327;12665;735;537;assegno
328;130;562;484;contante
329;7215;375;722;bonifico
330;3465;27;222;bonifico
331;17760;642;826;assegno
332;45225;427;588;assegno
333;4660;583;719;bonifico
334;15890;711;100;assegno
335;390;426;;carta di credito
336;13185;862;515;bonifico
337;18355;124;246;bonifico
338;23320;157;308;bonifico
339;21710;431;615;bonifico
340;33350;807;256;assegno
341;17458;777;963;bonifico
342;150;751;214;contante
343;9343;428;362;assegno
344;1950;917;846;bonifico
345;14875;928;132;assegno
346;25280;639;744;bonifico
347;924;987;;carta di credito
348;21490;312;467;assegno
349;310;602;;carta di credito
350;3281;939;60;bonifico
351;11375;156;876;bonifico
352;22598;233;731;assegno
353;180;382;976;contante
354;12725;22;427;assegno
355;9185;772;337;assegno
356;8115;369;365;bonifico
357;1090;387;;carta di credito
358;250;887;454;contante
359;485;246;;carta di credito
360;21985;573;202;assegno
361;1420;681;;carta di credito
362;12335;491;656;assegno
363;385;82;787;contante
364;16680;662;805;bonifico
365;22485;656;134;assegno
366;593;957;;carta di credito
367;780;642;;carta di credito
368;622;626;;carta di credito
369;19355;765;503;assegno
370;16755;860;516;assegno
371;5525;125;666;bonifico
372;8585;387;136;assegno
373;6355;988;806;bonifico
374;29560;568;481;assegno
375;10502;175;478;bonifico
376;10700;770;118;bonifico
377;11810;894;149;bonifico
378;220;555;452;contante
379;27750;847;557;assegno
380;21010;55;19;assegno
381;1305;688;;carta di credito
382;14750;39;109;bonifico
383;250;909;245;contante
384;8815;909;684;bonifico
385;23660;889;465;bonifico
386;364;983;;carta di credito
387;8630;33;722;bonifico
388;2910;837;482;bonifico
389;51065;379;313;bonifico
390;19895;505;585;assegno
391;23645;717;88;assegno
392;28505;179;369;bonifico
393;305;558;995;contante
394;47210;560;741;assegno
395;575;850;;carta di credito
396;65590;665;373;bonifico
397;955;238;;carta di credito
398;23745;820;109;assegno
399;520;483;;carta di credito
400;7485;700;131;assegno
401;16400;624;75;assegno
402;9398;532;520;bonifico
403;160;263;16;contante
404;475;823;;carta di credito
405;5920;532;465;assegno
406;32290;543;497;assegno
407;865;288;;carta di credito
408;225;432;772;contante
409;33509;623;967;assegno
410;5910;711;301;bonifico
411;42460;699;153;assegno
412;455;39;;carta di credito
413;35900;750;553;bonifico
414;1000;507;;carta di credito
415;690;954;;carta di credito
416;7040;32;481;bonifico
417;13693;492;905;bonifico
418;350;375;882;contante
419;945;521;743;bonifico
420;21901;375;813;bonifico
421;485;891;;carta di credito
422;395;177;;carta di credito
423;5340;920;953;bonifico
424;25770;218;199;bonifico
425;14705;450;100;bonifico
426;28080;109;325;bonifico
427;340;432;;carta di credito
428;17895;945;885;assegno
429;643;82;;carta di credito
430;2860;983;784;bonifico
431;10980;729;701;assegno
432;32540;340;809;assegno
433;6535;402;807;bonifico
434;2820;364;89;assegno
435;660;555;;carta di credito
436;725;850;151;contante
437;625;957;;carta di credito
438;24140;957;665;assegno
439;19651;519;393;bonifico
440;840;755;;carta di credito
441;21660;950;656;bonifico
442;11304;179;160;bonifico
443;14400;13;346;assegno
444;326;710;;carta di credito
445;440;50;;carta di credito
446;25285;226;326;assegno
447;12370;555;200;assegno
448;265;578;;carta di credito
449;12351;559;337;assegno
450;4160;513;914;bonifico
451;44986;952;802;bonifico
452;31830;800;357;assegno
453;15185;438;24;assegno
454;10880;894;885;bonifico
455;265;646;887;contante
456;460;651;;carta di credito
457;23145;393;485;assegno
458;12645;244;144;bonifico
459;11190;3;450;assegno
460;480;275;;carta di credito
461;7935;9;911;assegno
462;4905;773;644;bonifico
463;31140;627;833;assegno
464;260;362;725;contante
465;5295;847;35;assegno
466;255;95;660;contante
467;980;638;;carta di credito
468;525;934;;carta di credito
469;2355;155;;carta di credito
470;7555;577;216;bonifico
471;510;242;;carta di credito
472;10300;237;292;bonifico
473;16865;987;902;bonifico
474;23278;416;541;bonifico
475;28520;549;920;bonifico
476;305;284;;carta di credito
477;425;33;489;contante
478;418;214;;carta di credito
479;400;255;;carta di credito
480;305;845;;carta di credito
481;40005;418;224;bonifico
482;35655;897;414;bonifico
483;9389;839;145;bonifico
484;26565;676;946;assegno
485;750;906;;carta di credito
486;22440;352;878;assegno
487;24205;945;833;bonifico
488;20300;451;675;assegno
489;12154;91;373;bonifico
490;13858;790;578;bonifico
491;14998;313;481;bonifico
492;670;200;;carta di credito
493;12890;143;804;assegno
494;7570;407;677;assegno
495;52950;95;342;assegno
496;695;686;;carta di credito
497;7695;91;370;assegno
498;9980;943;521;bonifico
499;63660;360;308;bonifico
500;7075;945;938;bonifico
501;11280;626;677;bonifico
502;425;51;;carta di credito
503;38825;904;357;bonifico
504;150;205;536;contante
505;46640;535;830;assegno
506;24395;367;282;bonifico
507;5771;111;901;assegno
508;21260;861;549;assegno
509;10310;961;931;assegno
510;155;886;;carta di credito
511;6650;585;823;assegno
512;295;947;;carta di credito
513;6045;334;727;bonifico
514;482;425;594;contante
515;11430;829;469;assegno
516;27015;443;359;bonifico
517;675;250;;carta di credito
518;7187;985;821;bonifico
519;230;314;;carta di credito
520;18650;444;970;assegno
521;32165;450;298;assegno
522;8575;481;123;bonifico
523;7915;525;24;bonifico
524;16480;944;562;assegno
525;290;667;;carta di credito
526;12055;491;19;bonifico
527;240;884;330;contante
528;26116;757;94;assegno
529;9909;255;526;assegno
530;12908;398;689;bonifico
531;11165;92;437;bonifico
532;4905;597;620;bonifico
533;25405;425;916;assegno
534;11280;699;241;bonifico
535;575;544;;carta di credito
536;13720;109;101;bonifico
537;165;63;744;contante
538;845;655;;carta di credito
539;25830;2;247;assegno
540;36890;255;884;assegno
541;173;808;39;contante
542;3765;405;25;bonifico
543;9171;801;222;assegno
544;49980;980;734;assegno
545;28455;545;848;bonifico
546;16685;904;264;bonifico
547;908;3;;carta di credito
548;12050;285;845;bonifico
549;23715;631;973;assegno
550;3975;872;900;assegno
551;3830;955;23;assegno
552;560;692;;carta di credito
553;54584;416;649;assegno
554;1960;852;16;bonifico
555;29005;839;990;bonifico
556;9776;749;373;bonifico
557;47910;513;228;bonifico
558;15814;453;829;bonifico
559;1340;268;;carta di credito
560;280;430;60;contante
561;19329;382;597;bonifico
562;22675;167;136;bonifico
563;35880;21;811;assegno
564;565;46;;carta di credito
565;315;313;736;contante
566;6275;271;94;bonifico
567;23065;356;363;bonifico
568;140;221;540;contante
569;645;699;;carta di credito
570;23021;846;425;bonifico
571;12340;944;994;assegno
572;14345;244;430;bonifico
573;3195;654;844;assegno
574;670;152;;carta di credito
575;220;838;;carta di credito
576;31000;338;392;bonifico
577;10140;636;228;assegno
578;591;661;;carta di credito
579;8525;73;753;bonifico
580;8240;89;636;bonifico
581;2250;814;939;bonifico
582;1738;731;290;bonifico
583;355;693;663;contante
584;13720;560;555;bonifico
585;15360;642;524;assegno
586;3565;56;726;bonifico
587;395;695;;carta di credito
588;510;222;;carta di credito
589;42555;140;915;assegno
590;19660;34;821;bonifico
591;14760;88;982;assegno
592;686;365;;carta di credito
593;20315;417;198;assegno
594;1225;763;;carta di credito
595;10280;491;887;assegno
596;1050;811;;carta di credito
597;21287;197;888;bonifico
598;5600;949;829;bonifico
599;9750;438;390;assegno
600;31830;298;393;assegno
601;36856;545;534;bonifico
602;17455;906;556;assegno
603;67110;706;83;assegno
604;3105;25;94;bonifico
605;4179;225;631;bonifico
606;19730;138;475;bonifico
607;14910;867;295;bonifico
608;19146;208;385;assegno
609;26925;368;794;bonifico
610;619;662;;carta di credito
611;15025;583;662;assegno
612;8670;786;802;bonifico
613;630;272;;carta di credito
614;9190;313;369;assegno
615;5844;664;997;assegno
616;40185;330;862;bonifico
617;25380;921;639;assegno
618;665;85;;carta di credito
619;23550;81;562;bonifico
620;10865;118;853;bonifico
621;11280;182;503;assegno
622;10718;309;787;bonifico
623;805;884;313;contante
624;3535;683;201;bonifico
625;22090;595;412;bonifico
626;53205;336;755;bonifico
627;11055;421;515;assegno
628;868;414;;carta di credito
629;14660;486;271;bonifico
630;7905;428;975;assegno
631;650;918;;carta di credito
632;325;333;141;contante
633;8980;399;527;bonifico
634;24735;228;943;assegno
635;745;996;;carta di credito
636;220;898;185;contante
637;4595;247;244;assegno
638;38360;18;818;bonifico
639;14330;412;482;assegno
640;750;559;;carta di credito
641;595;905;;carta di credito
642;2160;486;568;bonifico
643;8855;265;255;assegno
644;16495;528;411;bonifico
645;790;406;;carta di credito
646;13400;645;809;bonifico
647;9190;575;626;assegno
648;10520;1;148;bonifico
649;535;821;;carta di credito
650;28250;103;545;bonifico
651;920;82;;carta di credito
652;28915;376;543;assegno
653;45282;657;234;bonifico
654;380;375;;carta di credito
655;25150;410;311;assegno
656;9500;313;178;bonifico
657;225;184;22;contante
658;13760;785;45;assegno
659;335;48;;carta di credito
660;8840;118;548;bonifico
661;22605;799;396;bonifico
662;40140;176;108;bonifico
663;227;321;;carta di credito
664;332;846;;carta di credito
665;18570;513;112;bonifico
666;1070;991;;carta di credito
667;235;200;;carta di credito
668;10300;348;822;bonifico
669;2080;47;;carta di credito
670;455;108;;carta di credito
671;7355;99;452;assegno
672;28395;559;252;assegno
673;57500;330;980;bonifico
674;23380;278;710;bonifico
675;122;423;;carta di credito
676;190;72;803;contante
677;22040;993;654;assegno
678;320;650;;carta di credito
679;11075;534;103;bonifico
680;4315;922;594;assegno
681;653;982;287;contante
682;13305;647;621;assegno
683;15160;34;197;bonifico
684;2768;851;932;assegno
685;9365;505;870;bonifico
686;4790;462;94;bonifico
687;3350;995;83;assegno
688;310;48;;carta di credito
689;1970;681;242;assegno
690;11160;595;903;assegno
691;215;968;574;contante
692;19335;285;900;bonifico
693;51025;261;103;assegno
694;11885;232;551;bonifico
695;41485;112;92;assegno
696;12870;906;437;bonifico
697;26530;200;311;bonifico
698;14355;21;322;assegno
699;560;944;;carta di credito
700;22650;564;176;bonifico
701;13270;277;575;bonifico
702;22010;894;253;bonifico
703;12340;741;806;assegno
704;705;761;;carta di credito
705;210;218;17;contante
706;46695;930;484;bonifico
707;14062;591;233;assegno
708;16335;946;449;bonifico
709;8780;444;855;bonifico
710;28460;367;651;assegno
711;11470;747;103;assegno
712;34750;30;229;bonifico
713;28136;226;182;bonifico
714;16010;596;357;assegno
715;35645;995;892;assegno
716;19047;572;961;bonifico
717;145;549;838;contante
718;56805;377;487;assegno
719;40455;502;864;assegno
720;13830;895;136;assegno
721;24326;653;239;assegno
722;8960;287;415;bonifico
723;7595;347;515;bonifico
724;11462;87;439;bonifico
725;7675;261;731;bonifico
726;15385;307;920;bonifico
727;9230;513;533;bonifico
728;320;665;43;contante
729;35225;835;657;bonifico
730;290;311;859;contante
731;13245;627;615;bonifico
732;29385;181;580;assegno
733;8960;56;995;assegno
734;16890;172;32;bonifico
735;28395;424;508;bonifico
736;340;189;;carta di credito
737;235;527;;carta di credito
738;1800;390;;carta di credito
739;29585;986;845;assegno
740;570;26;;carta di credito
741;220;590;895;contante
742;25015;27;563;assegno
743;595;789;;carta di credito
744;3165;20;787;assegno
745;10865;350;233;bonifico
746;18495;228;623;bonifico
747;670;459;;carta di credito
748;1990;841;617;bonifico
749;14885;150;376;bonifico
750;57710;588;575;bonifico
751;38770;497;897;bonifico
752;6170;664;938;bonifico
753;13430;613;481;bonifico
754;12052;325;815;assegno
755;17650;13;979;assegno
756;580;334;;carta di credito
757;713;364;;carta di credito
758;41610;318;840;bonifico
759;230;306;349;contante
760;3162;501;778;bonifico
761;16355;962;394;assegno
762;270;340;579;contante
763;205;23;;carta di credito
764;895;890;;carta di credito
765;14740;753;964;bonifico
766;195;150;;carta di credito
767;15376;81;585;bonifico
768;239;490;956;contante
769;34772;298;323;bonifico
770;250;755;602;contante
771;380;542;397;contante
772;7115;763;16;bonifico
773;21345;662;668;bonifico
774;21145;983;738;assegno
775;315;917;684;contante
776;47530;292;215;bonifico
777;16820;743;657;bonifico
778;15735;865;108;assegno
779;1900;811;239;assegno
780;21505;353;616;bonifico
781;385;501;;carta di credito
782;6880;956;606;assegno
783;635;224;;carta di credito
784;9985;702;708;bonifico
785;759;558;;carta di credito
786;635;356;;carta di credito
787;461;103;;carta di credito
788;12338;277;561;assegno
789;22596;154;456;bonifico
790;33800;309;590;assegno
791;8100;995;193;bonifico
792;320;618;;carta di credito
793;14235;839;993;bonifico
794;24720;633;261;bonifico
795;180;316;;carta di credito
796;1195;211;;carta di credito
797;23435;987;167;bonifico
798;18115;660;371;bonifico
799;25412;884;830;bonifico
800;35960;726;393;assegno
801;13145;190;579;assegno
802;3696;132;929;bonifico
803;686;88;804;bonifico
804;130;766;776;contante
805;222;640;;carta di credito
806;8420;736;66;bonifico
807;36850;438;888;bonifico
808;5080;845;735;bonifico
809;23295;514;359;bonifico
810;4240;110;685;bonifico
811;28520;764;43;bonifico
812;300;243;;carta di credito
813;12710;579;652;bonifico
814;850;667;896;contante
815;12854;461;668;assegno
816;12155;116;560;bonifico
817;515;617;194;contante
818;15480;608;308;bonifico
819;4650;729;901;bonifico
820;15116;679;367;assegno
821;31170;962;508;assegno
822;11860;421;412;bonifico
823;175;812;;carta di credito
824;32795;478;387;assegno
825;39290;646;582;bonifico
826;9160;454;560;assegno
827;18105;228;18;assegno
828;330;95;686;contante
829;480;184;;carta di credito
830;135;95;;carta di credito
831;10258;138;415;bonifico
832;25235;787;216;assegno
833;8665;141;424;bonifico
834;1320;36;874;bonifico
835;490;290;;carta di credito
836;22715;464;307;bonifico
837;165;548;;carta di credito
838;19767;861;558;assegno
839;32030;329;89;assegno
840;225;656;384;contante
841;12540;448;837;bonifico
842;23879;862;879;assegno
843;335;128;;carta di credito
844;7420;28;167;assegno
845;645;779;759;contante
846;260;413;667;contante
847;2927;766;666;bonifico
848;8158;749;967;bonifico
849;999;776;;carta di credito
850;384;559;128;contante
851;28710;725;911;assegno
852;562;595;;carta di credito
853;17620;548;343;bonifico
854;18485;99;336;assegno
855;305;798;238;contante
856;7277;722;537;bonifico
857;19505;356;978;bonifico
858;1605;500;;carta di credito
859;40165;291;911;bonifico
860;34120;172;241;assegno
861;27825;297;787;bonifico
862;3467;37;87;assegno
863;16455;892;451;bonifico
864;3290;979;408;assegno
865;475;782;;carta di credito
866;345;860;784;contante
867;530;887;;carta di credito
868;11125;468;95;bonifico
869;18780;662;595;bonifico
870;8750;233;23;bonifico
871;25000;51;848;assegno
872;34055;410;149;bonifico
873;26005;987;244;bonifico
874;14688;364;87;assegno
875;375;817;247;contante
876;420;57;6;contante
877;174;261;;carta di credito
878;12810;559;254;bonifico
879;4900;56;462;bonifico
880;7670;450;577;bonifico
881;470;689;;carta di credito
882;31435;161;475;assegno
883;2235;729;616;bonifico
884;31550;919;701;bonifico
885;1670;699;;carta di credito
886;46530;443;805;assegno
887;800;323;;carta di credito
888;6340;242;785;bonifico
889;12125;39;452;bonifico
890;15875;356;597;bonifico
891;210;684;929;contante
892;6440;21;90;assegno
893;16075;969;593;assegno
894;480;708;;carta di credito
895;13090;185;314;bonifico
896;64015;561;901;bonifico
897;745;967;;carta di credito
898;11555;560;692;bonifico
899;23330;727;73;bonifico
900;5263;53;722;bonifico
901;23875;895;958;assegno
902;28290;438;141;bonifico
903;725;360;;carta di credito
904;4510;506;18;bonifico
905;450;590;;carta di credito
906;12030;336;806;assegno
907;18195;726;937;bonifico
908;19570;441;43;bonifico
909;5525;430;349;bonifico
910;23635;300;83;bonifico
911;2665;571;594;bonifico
912;5845;545;732;bonifico
913;63619;497;253;assegno
914;12700;452;310;bonifico
915;15685;462;956;bonifico
916;12320;309;843;bonifico
917;22233;237;291;bonifico
918;13000;561;898;assegno
919;3860;145;990;bonifico
920;290;444;541;contante
921;1445;142;421;bonifico
922;32620;306;747;assegno
923;23601;124;309;bonifico
924;190;521;645;contante
925;260;401;348;contante
926;21980;13;729;bonifico
927;20202;460;327;bonifico
928;18405;246;531;bonifico
929;25165;290;395;assegno
930;26270;799;735;bonifico
931;650;905;;carta di credito
932;275;356;;carta di credito
933;395;40;;carta di credito
934;19155;657;783;assegno
935;9995;238;678;bonifico
936;36665;497;441;bonifico
937;385;570;433;contante
938;885;594;55;assegno
939;380;246;325;contante
940;1190;664;;carta di credito
941;20430;877;792;assegno
942;190;786;581;contante
943;6045;533;717;assegno
944;26552;390;714;bonifico
945;56715;842;358;assegno
946;79406;697;503;assegno
947;915;330;;carta di credito
948;27285;227;25;assegno
949;4845;110;62;bonifico
950;8207;204;361;bonifico
951;328;682;;carta di credito
952;145;152;266;contante
953;21673;203;238;bonifico
954;22340;751;949;assegno
955;28910;138;869;bonifico
956;9052;680;421;assegno
957;630;852;;carta di credito
958;2805;347;640;assegno
959;15246;230;110;assegno
960;275;212;458;contante
961;243;52;91;contante
962;24405;48;836;bonifico
963;605;699;;carta di credito
964;4725;494;209;bonifico
965;6960;527;309;assegno
966;670;962;;carta di credito
967;17850;134;266;assegno
968;17640;16;732;assegno
969;5255;546;878;assegno
970;29746;264;475;bonifico
971;20660;506;89;assegno
972;15680;964;226;bonifico
973;28345;807;481;assegno
974;27990;489;567;assegno
975;13800;225;597;bonifico
976;12220;730;649;bonifico
977;165;499;36;contante
978;305;427;271;contante
979;28437;799;837;bonifico
980;265;525;461;contante
981;8295;118;398;assegno
982;365;50;;carta di credito
983;485;911;;carta di credito
984;1016;250;;carta di credito
985;20155;21;363;bonifico
986;30671;614;953;bonifico
987;19981;462;120;assegno
988;14540;33;435;bonifico
989;565;309;;carta di credito
990;8525;134;419;assegno
991;310;642;;carta di credito
992;16595;812;781;bonifico
993;4975;465;876;bonifico
994;9210;287;370;bonifico
995;20705;225;543;assegno
996;596;809;116;contante
997;760;841;;carta di credito
998;534;252;;carta di credito
999;541;644;;carta di credito
1000;2840;455;80;bonifico
1001;1240;681;679;bonifico
1002;17935;912;289;bonifico
1003;14258;142;575;assegno
1004;3140;347;33;bonifico
1005;210;486;405;contante
1006;20195;991;59;bonifico
1007;990;162;;carta di credito
1008;37493;715;362;bonifico
1009;24485;333;917;bonifico
1010;20305;109;896;bonifico
1011;1065;373;;carta di credito
1012;9205;830;198;assegno
1013;340;38;;carta di credito
1014;17929;676;93;bonifico
1015;13470;48;106;bonifico
1016;52035;639;721;bonifico
1017;935;534;;carta di credito
1018;105;909;712;contante
1019;52220;497;446;bonifico
1020;16760;208;713;assegno
1021;15100;485;108;assegno
1022;3915;611;12;assegno
1023;230;574;376;contante
1024;660;996;742;contante
1025;11692;858;986;bonifico
1026;9728;504;990;bonifico
1027;17955;579;299;bonifico
1028;585;30;;carta di credito
1029;8536;355;52;assegno
1030;4485;665;108;assegno
1031;46995;825;979;assegno
1032;20181;448;95;bonifico
1033;14740;330;432;assegno
1034;39500;109;270;assegno
1035;23245;716;844;bonifico
1036;10209;834;216;assegno
1037;11440;527;586;assegno
1038;305;282;;carta di credito
1039;21900;919;75;assegno
1040;305;308;883;contante
1041;17165;608;439;assegno
1042;290;527;;carta di credito
1043;26680;95;59;assegno
1044;12585;124;233;bonifico
1045;6970;989;359;assegno
1046;44085;258;285;assegno
